" of the ";" bu "
"You can activate <b>%s</b> more App%s";"S <b>%s</b> daha fazla Uygulama%etkinleştirebilirsiniz "
"You can contact your Administrator to get more informations.";"Daha fazla bilgi almak için Yöneticinize başvurun."
"You can disable a template globally!";"Genel bir şablon devre dışı bırakabilirsiniz."
"You can only edit offline subscriptions!";"Sadece çevrimdışı abonelikleri düzenleyebilirsiniz."
"You can publish <b>up to %s Apps</b>";"%<B>yayınlayabilirsin</b>Apps s "
"You can't activate an online subscription!";"Çevrimiçi bir abonelik etkinleştirebilirsiniz."
"You can't assign a role to this child role, this will break the hierarchy!";"Bu çocuk rol için bir rol atayabilirsiniz, bu hiyerarşi kıracak!"
"You can't deactivate an online subscription!";"Çevrimiçi bir abonelik devre dışı bırakabilirsiniz."
"You can't go back to Angular.";"Geri Açısal gidebilirsiniz."
"You can't go back with Angular.";"Geri Eğik ile gidebilirsiniz."
"You cannot add a Folder feature inside a folder!";"Bir klasör içinde bir Klasör özelliği eklenemiyor."
"You cannot change Firewall settings, it's a demo version.";"Güvenlik Duvarı ayarlarını değiştiremezsiniz, bir demo versiyonu."
"You cannot change translation, it's a demo version.";"Çeviri değiştiremezsiniz, bir demo versiyonu."
"You don't have any plans yet";"Henüz bir planın yok mu "
"You don't have created any taxes yet";"Henüz herhangi bir vergi oluşturulan zorunda değilsiniz "
"You have exceeded the number of attempts to validate points.<br />Your card is locked for 24h";"<Noktalarını doğrulamak için deneme sayısını aştınız.br />kart kilitli için 24 saat"
"You have no subscription with free slots, please proceed to a new purchase.";"Ücretsiz yuvası ile herhangi bir abonelik var, yeni bir satın almaya devam edin."
"You have no subscription.";"Hiçbir abonelik."
"You have no users.";"Hiçbir kullanıcı var."
"You have no whitelabel yet.";"Henüz whitelabel var."
"You have received a publication request:";"Yayın bir istek aldık:"
"You manually handle the payments via check, cash, etc... and activations/deactivations.";"El Çek, nakit, vb ödemelerde işlemek... ve/deactivations aktivasyonu."
"You must be connected to create a post!";"Bir yazı oluşturmak için bağlı olmanız gerekir."
"You must select a subscription!";"Bir abonelik seçmeniz gerekir."
"You must select an existing subscription!";"Varolan bir abonelik seçmeniz gerekir."
"You must set a Google Maps API Key in <b>Settings > Advanced</b> in order to use this feature.";"Bu özelliği kullanmak için <b>Ayarlar > Gelişmiş</b> Google Haritalar API Anahtarı ayarlamanız gerekir."
"You must upgrade Java to 1.8";"1.8 Java yükseltmelisiniz "
"You will disable the current Application subscription!<br />You can enter a customer message below to inform the Application owner!<br /><br />";"Geçerli Uygulama abonelik devre dışı bırak<!!<Başvuru sahibi bilgilendirmek için aşağıda müşteri bir mesaj girebilirsiniz br /> br /><br />"
"You will enable the current Application subscription!<br />You can enter a customer message below to inform the Application owner!<br /><br />";"Geçerli Uygulama abonelik etkinleştir<!!<Başvuru sahibi bilgilendirmek için aşağıda müşteri bir mesaj girebilirsiniz br /> br /><br />"
"Your %s version is %s.";"%Sürüm %s s."
"Your APK is being generated. Please come back in a few minutes.";"MUAYENE sizin oluşturuluyor. Birkaç dakika sonra gelin lütfen."
"Your PHP version %s is not supported, PHP versions from 5.6 to 7.0 are supported.";"S PHP sürüm %desteklenmiyor, 5.6 7.0 PHP sürümlerinde desteklenir."
"Your account doesn't exists on editor side. Please create it before using tour edition.";"Hesabınız editörü tarafında yok. Lütfen tur edition kullanmadan önce oluşturun."
"Your application has been successfully added to your subscription!";"Uygulama başarıyla aboneliğinizi eklendi!"
"Your subscription expired!";"Aboneliğinizin süresi doldu!"
"Your subscription was automatically cancelled.";"Abonelik otomatik olarak iptal edilmiştir."
"Your subscription was manually cancelled.";"Abonelik el ile iptal edildi."
"Zip Code:";"Posta Kodu:"
"Zone overlay";"Bölge yerleşimi"
"before updating we strongly advise you to read the release note and the following document.";"güncellemeden önce güçlü yayın Not ve aşağıdaki belgeyi okumanızı tavsiye ederiz."
"dismiss";"Görevden"
"home/features/admin_marque_blanche.png";"home//admin_marque_blanche özellikleri.png"
"home/features/appel_en_un_clique.png";"home//appel_en_un_clique özellikleri.png"
"home/features/geolocalisation.png";"home//geolocalisation özellikleri.png"
"home/features/listing_produits.png";"home//listing_produits özellikleri.png"
"iOS Descriptions saved!";"iOS Açıklamaları kurtardı!"
"iPhone X:";"iPhone X:"
"password";"Şifre"
"you know it!";"bunu sen de biliyorsun!"
